Sampling Dates,Trap 1,Trap 2,Trap 3,Trap 4,Trap 5,Daily Average Count,AFA Value
2013-07-28,49,202,-1,131,135,129,-
2013-07-29,210,247,-1,7,638,276,-
2013-08-04,153,5,-1,-1,212,123,-
2013-08-05,82,33,-1,86,107,77,-
2013-08-11,84,20,-1,139,345,147,-
2013-08-12,95,98,-1,278,439,228,-
2013-08-18,160,317,-1,470,489,359,-
2013-08-19,98,230,-1,6,715,262,-
2013-08-25,397,243,84,96,377,239,-
2013-08-26,58,119,174,176,688,243,-
2013-09-01,49,35,25,9,3,24,-
2013-09-02,48,59,0,166,194,93,-
2014-05-25,0,1,6,24,5,7,-
2014-05-26,2,0,1,9,1,3,9 (Low Range)
2014-06-01,131,142,35,423,320,210,-
2014-06-02,47,11,11,62,26,31,10 (Medium Range)
2014-06-08,248,-1,55,197,482,246,-
2014-06-09,71,-1,53,202,271,149,12 (Medium Range)
2014-06-15,163,42,37,28,28,60,-
2014-06-16,125,14,10,122,404,135,12 (Medium Range)
2014-06-22,189,57,41,108,232,125,-
2014-06-23,254,6,47,156,266,146,11 (Medium Range)
2014-06-29,107,11,35,31,142,65,-
2014-06-30,39,2,-1,2,6,12,13 (Medium Range)
2014-07-06,1052,318,245,-1,-1,538,-
2014-07-07,3288,716,237,1486,1500,1445,15 (High Range)
2014-07-08,2366,168,261,223,741,752,-
2014-07-13,2016,143,156,156,110,516,-
2014-07-14,-1,57,101,33,28,91,13 (Medium Range)
2014-07-16,1160,365,269,2120,2032,1189,-
2014-07-20,1528,855,435,2462,3160,1688,-
2014-07-21,1518,541,279,1395,2058,1158,15 (High Range)
2014-07-27,75,32,74,23,19,45,-
2014-07-28,343,97,59,171,732,280,11 (Medium Range)
2014-08-03,268,40,85,239,244,175,-
2014-08-04,343,50,84,227,388,194,8 (Low Range) 
2014-08-10,80,42,14,59,168,73,-
2014-08-11,72,18,22,60,147,64,7 (Low Range)
2014-08-17,107,7,35,77,110,67,-
2014-08-18,34,3,9,37,56,28,7 (Low Range)
2014-08-24,0,0,0,0,-1,0,-
2014-08-25,6,0,0,0,1,1,-
2014-08-31,19,6,4,14,17,12,-
2014-09-01,8,1,3,4,10,5,-
2015-05-09,60,12,3,0,13,18,Low Range
2015-05-23,1,0,2,1,3,1,-
2015-05-24,3,1,1,1,3,2,-
2015-05-30,0,0,0,1,1,0,-
2015-05-31,0,0,3,8,6,3,-
2015-06-06,20,26,0,101,90,47,-
2015-06-07,10,31,42,148,90,66,8 (Low Range) 
2015-06-13,58,17,74,132,761,208,-
2015-06-14,51,15,40,32,122,52,9 (Low Range)
2015-06-20,12,2,10,29,93,29,-
2015-06-21,15,8,20,38,124,41,9 (Low Range)
2015-06-27,37,28,21,208,215,102,-
2015-06-28,48,85,24,107,137,80,11 (Medium Range)
2015-07-04,22,16,26,162,225,90,-
2015-07-05,24,14,18,34,44,27,11 (Medium Range)
2015-07-11,15,48,8,294,313,136,-
2015-07-12,28,0,8,168,234,88,10 (Medium Range)
2015-07-18,14,3,9,9,60,19,-
2015-07-19,28,12,5,15,53,23,11 (Medium Range)
2015-07-25,22,27,9,54,79,38,-
2015-07-26,20,37,12,58,89,43,13 (Medium Range)
2015-08-01,278,99,101,133,193,161,-
2015-08-02,166,60,62,107,119,103,12 (Medium Range)
2015-08-08,54,24,22,136,88,65,-
2015-08-09,66,53,18,112,202,90,10 (Medium Range)
2015-08-15,101,86,39,9,11,49,-
2015-08-16,365,90,117,106,248,185,N/A
2015-08-22,0,0,0,4,8,2,-
2015-08-23,92,-1,57,12,43,51,12 (Medium Range)
2015-08-29,98,106,150,71,93,104,-
2015-08-30,292,140,120,47,-1,150,-
2016-05-21,2,0,16,14,0,6,-
2016-05-22,1,167,19,0,0,37,-
2016-05-28,1,16,2,0,0,4,-
2016-05-29,1,4,2,0,3,2,8 (Low Range)
2016-06-04,12,17,0,0,0,6,-
2016-06-05,1,1,3,0,0,1,-
2016-06-11,45,13,8,0,12,16,-
2016-06-12,3,10,4,4,15,7,9 (Low Range)
2016-06-18,425,137,75,48,310,199,-
2016-06-19,126,-1,59,0,71,64,11 (Medium Range)
2016-06-25,290,86,34,1,124,107,-
2016-06-26,414,79,32,51,390,193,12 (Medium Range)
2016-07-02,113,36,21,126,288,117,-
2016-07-03,-1,39,10,226,800,269,13 (Medium Range)
2016-07-09,201,34,7,166,507,183,-
2016-07-10,154,102,33,217,234,148,14 (Medium Range)
2016-07-16,69,54,0,74,158,71,- 
2016-07-17,130,41,20,68,235,99,13 (Medium Range)
2016-07-23,736,433,169,49,266,331,-
2016-07-24,452,198,235,530,407,364,16 (High Range)
2016-07-30,1070,99,387,737,1080,675,-
2016-08-01,1676,96,2592,1148,388,1180,14 (Medium Range)
2016-08-06,1808,92,195,603,469,633,-
2016-08-07,691,160,385,678,911,565,14 (Medium Range) 
2016-08-13,232,106,86,3,348,155,-
2016-08-14,-1,218,182,190,496,267,9 (Low Range)
2016-08-20,34,40,5,1,-1,20,-
2016-08-21,93,117,57,1,-1,67,8 (Low Range)
2016-08-27,122,59,70,70,151,94,-
2016-08-28,247,19,52,41,141,100,8 (Low Range)
2016-09-04,30,8,20,25,33,23,-
2016-09-05,60,12,3,0,13,18,Low Range
2016-09-11,12,18,5,0,16,10,-
2016-09-12,25,15,10,0,3,11,-
2017-05-22,0,0,0,0,1,0,-
2017-05-23,3,0,0,0,0,0,Low
2017-05-29,0,0,0,1,0,0,-
2017-05-30,0,0,0,0,2,0,Low
2017-06-05,4,16,7,14,15,11,-
2017-06-06,3,3,2,6,14,6,Low
2017-06-12,3,13,9,8,40,15,-
2017-06-13,-1,1,3,4,31,10,Low
2017-06-19,23,8,21,11,155,44,-
2017-06-20,1,0,-1,2,22,6,Low Range
2017-06-26,8,0,12,3,77,20,-
2017-06-27,14,27,2,0,386,86,Low Range
2017-07-03,199,79,29,43,1028,276,-
2017-07-04,559,259,106,185,720,366,Medium Range
2017-07-10,301,398,58,294,876,385,-
2017-07-11,199,248,-1,201,1244,473,Medium Range
2017-07-17,656,548,296,213,1194,581,-
2017-07-18,324,142,113,84,486,230,Medium Range
2017-07-23,115,127,48,197,343,166,-
2017-07-24,201,148,31,113,443,187,Low Range
2017-07-30,69,106,34,44,348,120,-
2017-07-31,212,26,33,40,215,105,Low Range
2017-08-06,31,58,11,23,164,57,-
2017-08-07,62,14,12,31,215,67,Low Range
2017-08-13,119,72,5,40,71,54,-
2017-08-14,74,-1,18,12,-1,35,Low Range
2017-08-20,115,25,4,24,87,51,-
2017-08-21,23,8,8,-1,11,12,Low Range
2017-08-27,64,36,65,17,139,64,-
2017-08-28,29,32,51,28,108,50,Low Range
2017-09-03,4,9,19,3,4,8,-
2017-09-04,1,3,8,16,2,6,Low Range
2017-09-10,8,6,2,16,31,13,-
2017-09-11,0,3,8,3,2,3,Low Range
2018-06-03,0,11,4,1,14,6,-
2018-06-04,6,10,1,3,12,6,Low Range
2018-06-09,23,33,30,5,16,21,-
2018-06-10,22,29,10,30,94,37,Low Range
2018-06-16,197,301,69,82,295,189,-
2018-06-17,297,196,29,38,138,140,Low Range
2018-06-23,89,76,19,16,188,78,-
2018-06-24,97,99,11,13,83,61,Low Range
2018-06-30,261,71,78,84,236,146,-
2018-07-01,66,34,40,34,83,51,Low Range
2018-07-07,342,187,199,239,223,238,-
2018-07-08,308,113,47,290,224,196,Low Range
2018-07-14,167,39,75,59,297,127,-
2018-07-15,133,74,37,40,221,101,Low Range
2018-07-21,171,68,31,62,78,82,-
2018-07-22,129,37,27,22,256,94,Medium Range
2018-07-28,63,17,5,15,42,28,-
2018-07-29,66,16,19,16,28,29,Low Range
2018-08-04,78,13,11,4,51,31,-
2018-08-05,51,22,31,5,36,29,Low Range
2018-08-11,40,16,13,8,30,21,-
2018-08-12,34,14,40,8,23,24,Medium Range
2018-08-18,6,23,8,1,-1,10,-
2018-08-19,17,3,4,1,21,9,Medium Range
2018-08-26,1,4,1,2,5,3,-
2018-08-27,10,6,2,0,4,4,Low Range
2018-09-02,2,0,1,0,2,1,-
2018-09-03,1,0,1,16,5,5,Low Range
2018-09-09,0,2,4,2,2,2,-
2018-09-10,4,0,1,1,0,1,Low Range
2019-06-11,1,0,1,0,11,3,-
2019-06-12,0,10,0,0,9,4,Low Range
2019-06-18,12,13,2,0,33,12,-
2019-06-19,6,6,4,1,49,13,8 (Low Range)
2019-06-22,22,1,7,1,32,13,-
2019-06-23,2,8,15,5,75,21,10 (Medium Range)
2019-06-29,6,12,29,14,93,31,-
2019-06-30,9,20,2,14,113,32,8 (Low Range)
2019-07-06,158,718,57,50,438,284,-
2019-07-07,756,722,55,203,1148,577,12 (Medium Range)
2019-07-13,253,187,38,155,550,237,-
2019-07-14,-1,148,155,77,416,199,13 (Medium Range)
2019-07-20,209,120,45,22,73,94,-
2019-07-21,174,61,45,294,48,124,11 (Medium Range)
2019-07-27,236,150,228,141,1536,458,-
2019-07-28,17,96,58,20,262,91,10 (Medium Range)
2019-08-03,-1,128,-1,56,1268,484,-
2019-08-04,-1,33,-1,124,578,245,9 (Low Range)
2019-08-10,37,20,12,18,96,37,-
2019-08-11,155,108,31,21,90,81,9 (Low Range)
2019-08-17,11,5,3,2,23,9,-
2019-08-18,56,23,15,2,63,32,8 (Low Range)
2019-08-24,25,11,26,7,81,30,-
2019-08-25,32,25,13,22,57,30,11 (Medium Range)
2019-08-31,86,36,40,3,82,49,-
2019-09-01,3,-1,7,1,3,4,Low Range
2020-05-30,-1,2,0,0,65,17,-
2020-05-31,25,32,10,95,105,53,6 (Low Range)
2020-06-06,1,1,0,0,0,0,-
2020-06-07,20,32,3,15,82,30,7 (Low Range)
2020-06-13,0,31,4,10,51,19,-
2020-06-14,88,115,12,21,85,64,7 (Low Range)
2020-06-20,0,31,4,10,51,19,-
2020-06-21,88,115,12,21,85,64,Low Range (5)
2020-06-27,23,118,13,34,124,62,-
2020-06-28,20,39,11,-1,16,21,8 (Low Range)
2020-07-04,64,21,17,101,93,60,-
2020-07-05,19,42,25,76,143,61,10 (Medium Range)
2020-07-11,1204,1152,304,2688,2376,1545,-
2020-07-12,1340,2560,2308,3488,1488,2337,High Range
2020-07-18,182,197,38,72,586,215,-
2020-07-19,642,690,186,702,1396,723,11 (Medium Range)
2020-07-25,494,1032,284,131,-1,485,-
2020-07-26,564,486,327,477,1076,586,10 (Medium Range)
2020-08-01,458,245,145,157,830,367,-
2020-08-02,262,-1,109,255,702,332,10 (Medium Range)
2020-08-08,290,126,46,150,76,138,-
2020-08-09,78,78,54,39,226,95,8 (Low Range)
2020-08-15,155,28,50,128,371,146,-
2020-08-16,-1,-1,40,119,368,176,10 (Medium Range)
2020-08-22,208,-1,70,103,244,156,-
2020-08-23,69,-1,50,102,201,105,9 (Low Range)
2020-08-29,133,31,-1,312,235,178,-
2020-08-30,55,36,6,12,39,30,9 (Low Range)
2020-09-05,0,86,6,112,93,59,-
2020-09-06,0,0,0,0,0,0,8 (Low Range)
2021-06-13,3,1,12,3,1,4,Medium
2021-06-14,1,3,15,8,1,8,Medium
2021-06-20,1,2,0,1,0,1,Medium
2021-06-21,12,4,1,2,0,4,Medium
2021-06-27,1424,3068,340,1054,20,1181,Medium
2021-06-28,514,91,4480,376,150,1122,Medium
2021-07-04,1202,648,1524,1010,1,877,Low
2021-07-05,1183,0,420,313,629,509,Low
2021-07-11,204,0,233,346,348,226,Low
2021-07-12,122,85,227,190,97,144,Low
2021-07-18,487,70,809,0,133,300,Medium
2021-07-19,529,130,324,219,280,296,Medium
2021-07-25,552,1,444,6,-1,201,Low
2021-07-26,224,353,1204,185,273,448,Low
2021-08-01,149,142,294,71,220,175,Low
2021-08-02,102,104,374,201,322,221,Low
2021-08-08,65,75,244,40,0,85,Low
2021-08-09,330,25,63,54,121,119,Low
2021-08-15,74,43,141,26,41,65,Low
2021-08-16,124,65,194,31,49,93,Low
2021-08-22,0,0,10,0,5,3,Medium
2021-08-23,2,1,5,11,4,5,Medium
2021-08-29,0,0,4,8,11,5,Medium
2021-08-30,2,5,2,4,2,3,Medium
2022-06-05,10,38,49,2,14,23,Low
2022-06-06,6,76,7,6,0,19,Low
2022-06-12,216,1520,437,389,302,573,Medium
2022-06-13,104,1652,63,290,286,479,Medium
2022-06-19,263,1764,1402,0,0,1143,High
2022-06-20,5,1692,1358,126,416,719,High
2022-06-26,2,121,28,1,19,34,Low
2022-06-27,35,410,12,58,190,141,Low
2022-07-03,245,4212,0,286,1202,1486,Low
2022-07-04,432,3546,0,217,740,1233,Low
2022-07-10,56,8,68,107,90,66,Low
2022-07-11,117,29,74,67,9,59,Low
2022-07-17,312,1042,490,786,594,655,medium
2022-07-18,205,323,55,52,67,140,medium
2022-07-24,0,274,77,0,181,177,Medium
2022-07-25,0,235,181,0,218,178,Medium
2022-07-31,665,1220,111,1324,82,680,Low
2022-08-01,166,862,156,1092,1156,686,Low
2022-08-07,119,31,389,70,166,155,Low
2022-08-08,507,480,481,182,364,403,Low
2022-08-14,169,354,441,227,367,312,Low
2022-08-15,317,547,539,137,401,388,Low
2022-08-28,22,26,56,14,9,25,Low
2022-08-29,3,18,72,17,19,26,Low
2023-05-17,0,0,0,0,0,0,-
2023-05-19,0,0,0,0,0,0,-
2023-06-04,0,14,16,17,118,33,Low
2023-06-05,0,234,0,56,32,64,Low
2023-06-11,22,151,19,15,39,49,Low
2023-06-12,0,86,8,19,8,24,Low
2023-06-18,12,456,120,50,63,140,Medium
2023-06-19,35,1118,32,37,198,284,Medium
2023-06-25,183,458,212,103,230,237,Medium
2023-06-26,245,1700,161,4,258,474,Medium
2023-07-02,419,744,-1,94,201,365,Low
2023-07-03,130,688,-1,381,296,369,Low
2023-07-16,63,365,14,172,7,124,Low
2023-07-17,51,1012,18,110,82,255,Low
2023-07-30,47,163,-1,80,81,93,Low
2023-07-31,35,19,30,215,2,60,Low
2023-08-01,4,53,27,1,32,23,Low
2023-08-06,27,264,1,52,84,86,Low
2023-08-07,18,124,14,24,48,46,Low
2023-08-13,-1,48,-1,20,2,23,Low
2023-08-14,-1,52,-1,27,47,42,Low
2023-08-20,-1,14,-1,5,6,8,Low
2023-08-21,-1,37,0,6,1,11,Low
2023-08-27,-1,1,5,4,0,3,Low
2023-08-28,-1,16,0,1,7,6,Low
