"","trap","number","date","region","region_name"
"71","ff",15,2024-09-26,"Out of City Limits","Ritchot"
"72","gg",0,2024-09-26,"Out of City Limits","MacDonald"
"73","hh",12,2024-09-26,"Out of City Limits","Headingly"
"74","ii",0,2024-09-26,"Out of City Limits","Rosser"
"75","NW1",NA,2024-09-25,"NW","NW1"
"76","NW2",16,2024-09-25,"NW","NW2"
"77","NW3",3,2024-09-25,"NW","NW3"
"78","NW4",5,2024-09-25,"NW","NW4"
"79","NW5",1,2024-09-25,"NW","NW5"
"80","NW6",2,2024-09-25,"NW","NW6"
"81","NW7",2,2024-09-25,"NW","NW7"
"82","SW1",0,2024-09-25,"SW","SW1"
"83","SW2",1,2024-09-25,"SW","SW2"
"84","SW3",1,2024-09-25,"SW","SW3"
"85","SW4",1,2024-09-25,"SW","SW4"
"86","SW5",1,2024-09-25,"SW","SW5"
"87","SW6",2,2024-09-25,"SW","SW6"
"88","SW7",1,2024-09-25,"SW","SW7"
"89","NE1",7,2024-09-25,"NE","NE1"
"90","NE2",20,2024-09-25,"NE","NE2"
"91","NE3",11,2024-09-25,"NE","NE3"
"92","NE4",2,2024-09-25,"NE","NE4"
"93","NE5",0,2024-09-25,"NE","NE5"
"94","NE6",6,2024-09-25,"NE","NE6"
"95","NE7",4,2024-09-25,"NE","NE7"
"96","SE1",NA,2024-09-25,"SE","SE1"
"97","SE2",8,2024-09-25,"SE","SE2"
"98","SE3",8,2024-09-25,"SE","SE3"
"99","SE4",10,2024-09-25,"SE","SE4"
"100","SE5",2,2024-09-25,"SE","SE5"
"101","SE6",2,2024-09-25,"SE","SE6"
"102","SE7",9,2024-09-25,"SE","SE7"
"103","aa",14,2024-09-25,"Out of City Limits","Lilyfield"
"104","bb",11,2024-09-25,"Out of City Limits","North Perimeter"
"105","cc",1,2024-09-25,"Out of City Limits","West St. Paul"
"106","dd",5,2024-09-25,"Out of City Limits","East St. Paul"
"107","ee",1,2024-09-25,"Out of City Limits","Springfield"
"108","ff",4,2024-09-25,"Out of City Limits","Ritchot"
"109","gg",1,2024-09-25,"Out of City Limits","MacDonald"
"110","hh",5,2024-09-25,"Out of City Limits","Headingly"
"111","ii",0,2024-09-25,"Out of City Limits","Rosser"
"112","NW1",NA,2024-09-24,"NW","NW1"
"113","NW2",4,2024-09-24,"NW","NW2"
"114","NW3",3,2024-09-24,"NW","NW3"
"115","NW4",8,2024-09-24,"NW","NW4"
"116","NW5",4,2024-09-24,"NW","NW5"
"117","NW6",0,2024-09-24,"NW","NW6"
"118","NW7",0,2024-09-24,"NW","NW7"
"119","SW1",0,2024-09-24,"SW","SW1"
"120","SW2",1,2024-09-24,"SW","SW2"
"121","SW3",0,2024-09-24,"SW","SW3"
"122","SW4",1,2024-09-24,"SW","SW4"
"123","SW5",0,2024-09-24,"SW","SW5"
"124","SW6",1,2024-09-24,"SW","SW6"
"125","SW7",2,2024-09-24,"SW","SW7"
"126","NE1",1,2024-09-24,"NE","NE1"
"127","NE2",4,2024-09-24,"NE","NE2"
"128","NE3",9,2024-09-24,"NE","NE3"
"129","NE4",3,2024-09-24,"NE","NE4"
"130","NE5",1,2024-09-24,"NE","NE5"
"131","NE6",5,2024-09-24,"NE","NE6"
"132","NE7",4,2024-09-24,"NE","NE7"
"133","SE1",NA,2024-09-24,"SE","SE1"
"134","SE2",2,2024-09-24,"SE","SE2"
"135","SE3",1,2024-09-24,"SE","SE3"
"136","SE4",NA,2024-09-24,"SE","SE4"
"137","SE5",1,2024-09-24,"SE","SE5"
"138","SE6",1,2024-09-24,"SE","SE6"
"139","SE7",0,2024-09-24,"SE","SE7"
"140","aa",12,2024-09-24,"Out of City Limits","Lilyfield"
"141","bb",8,2024-09-24,"Out of City Limits","North Perimeter"
"142","cc",4,2024-09-24,"Out of City Limits","West St. Paul"
"143","dd",3,2024-09-24,"Out of City Limits","East St. Paul"
"144","ee",2,2024-09-24,"Out of City Limits","Springfield"
"145","ff",6,2024-09-24,"Out of City Limits","Ritchot"
"146","gg",4,2024-09-24,"Out of City Limits","MacDonald"
"147","hh",4,2024-09-24,"Out of City Limits","Headingly"
"148","ii",0,2024-09-24,"Out of City Limits","Rosser"
"149","NW1",NA,2024-09-23,"NW","NW1"
"150","NW2",9,2024-09-23,"NW","NW2"
"151","NW3",2,2024-09-23,"NW","NW3"
"152","NW4",2,2024-09-23,"NW","NW4"
"153","NW5",3,2024-09-23,"NW","NW5"
"154","NW6",0,2024-09-23,"NW","NW6"
"155","NW7",5,2024-09-23,"NW","NW7"
"156","SW1",1,2024-09-23,"SW","SW1"
"157","SW2",1,2024-09-23,"SW","SW2"
"158","SW3",1,2024-09-23,"SW","SW3"
"159","SW4",3,2024-09-23,"SW","SW4"
"160","SW5",1,2024-09-23,"SW","SW5"
"161","SW6",1,2024-09-23,"SW","SW6"
"162","SW7",1,2024-09-23,"SW","SW7"
"163","NE1",5,2024-09-23,"NE","NE1"
"164","NE2",8,2024-09-23,"NE","NE2"
"165","NE3",6,2024-09-23,"NE","NE3"
"166","NE4",2,2024-09-23,"NE","NE4"
"167","NE5",0,2024-09-23,"NE","NE5"
"168","NE6",3,2024-09-23,"NE","NE6"
"169","NE7",7,2024-09-23,"NE","NE7"
"170","SE1",NA,2024-09-23,"SE","SE1"
"171","SE2",2,2024-09-23,"SE","SE2"
"172","SE3",2,2024-09-23,"SE","SE3"
"173","SE4",3,2024-09-23,"SE","SE4"
"174","SE5",3,2024-09-23,"SE","SE5"
"175","SE6",1,2024-09-23,"SE","SE6"
"176","SE7",6,2024-09-23,"SE","SE7"
"177","aa",9,2024-09-23,"Out of City Limits","Lilyfield"
"178","bb",4,2024-09-23,"Out of City Limits","North Perimeter"
"179","cc",2,2024-09-23,"Out of City Limits","West St. Paul"
"180","dd",3,2024-09-23,"Out of City Limits","East St. Paul"
"181","ee",1,2024-09-23,"Out of City Limits","Springfield"
"182","ff",8,2024-09-23,"Out of City Limits","Ritchot"
"183","gg",4,2024-09-23,"Out of City Limits","MacDonald"
"184","hh",7,2024-09-23,"Out of City Limits","Headingly"
"185","ii",1,2024-09-23,"Out of City Limits","Rosser"
"186","NW1",NA,2024-09-19,"NW","NW1"
"187","NW2",3,2024-09-19,"NW","NW2"
"188","NW3",1,2024-09-19,"NW","NW3"
"189","NW4",0,2024-09-19,"NW","NW4"
"190","NW5",0,2024-09-19,"NW","NW5"
"191","NW6",0,2024-09-19,"NW","NW6"
"192","NW7",5,2024-09-19,"NW","NW7"
"193","SW1",0,2024-09-19,"SW","SW1"
"194","SW2",0,2024-09-19,"SW","SW2"
"195","SW3",1,2024-09-19,"SW","SW3"
"196","SW4",0,2024-09-19,"SW","SW4"
"197","SW5",0,2024-09-19,"SW","SW5"
"198","SW6",0,2024-09-19,"SW","SW6"
"199","SW7",0,2024-09-19,"SW","SW7"
"200","NE1",3,2024-09-19,"NE","NE1"
"201","NE2",3,2024-09-19,"NE","NE2"
"202","NE3",0,2024-09-19,"NE","NE3"
"203","NE4",0,2024-09-19,"NE","NE4"
"204","NE5",0,2024-09-19,"NE","NE5"
"205","NE6",3,2024-09-19,"NE","NE6"
"206","NE7",1,2024-09-19,"NE","NE7"
"207","SE1",NA,2024-09-19,"SE","SE1"
"208","SE2",3,2024-09-19,"SE","SE2"
"209","SE3",2,2024-09-19,"SE","SE3"
"210","SE4",5,2024-09-19,"SE","SE4"
"211","SE5",0,2024-09-19,"SE","SE5"
"212","SE6",0,2024-09-19,"SE","SE6"
"213","SE7",2,2024-09-19,"SE","SE7"
"214","aa",4,2024-09-19,"Out of City Limits","Lilyfield"
"215","bb",1,2024-09-19,"Out of City Limits","North Perimeter"
"216","cc",0,2024-09-19,"Out of City Limits","West St. Paul"
"217","dd",1,2024-09-19,"Out of City Limits","East St. Paul"
"218","ee",1,2024-09-19,"Out of City Limits","Springfield"
"219","ff",3,2024-09-19,"Out of City Limits","Ritchot"
"220","gg",0,2024-09-19,"Out of City Limits","MacDonald"
"221","hh",1,2024-09-19,"Out of City Limits","Headingly"
"222","ii",0,2024-09-19,"Out of City Limits","Rosser"
"223","NW1",NA,2024-09-18,"NW","NW1"
"224","NW2",3,2024-09-18,"NW","NW2"
"225","NW3",0,2024-09-18,"NW","NW3"
"226","NW4",0,2024-09-18,"NW","NW4"
"227","NW5",2,2024-09-18,"NW","NW5"
"228","NW6",NA,2024-09-18,"NW","NW6"
"229","NW7",0,2024-09-18,"NW","NW7"
"230","SW1",0,2024-09-18,"SW","SW1"
"231","SW2",0,2024-09-18,"SW","SW2"
"232","SW3",2,2024-09-18,"SW","SW3"
"233","SW4",1,2024-09-18,"SW","SW4"
"234","SW5",0,2024-09-18,"SW","SW5"
"235","SW6",0,2024-09-18,"SW","SW6"
"236","SW7",0,2024-09-18,"SW","SW7"
"237","NE1",0,2024-09-18,"NE","NE1"
"238","NE2",0,2024-09-18,"NE","NE2"
"239","NE3",2,2024-09-18,"NE","NE3"
"240","NE4",0,2024-09-18,"NE","NE4"
"241","NE5",0,2024-09-18,"NE","NE5"
"242","NE6",1,2024-09-18,"NE","NE6"
"243","NE7",1,2024-09-18,"NE","NE7"
"244","SE1",NA,2024-09-18,"SE","SE1"
"245","SE2",0,2024-09-18,"SE","SE2"
"246","SE3",0,2024-09-18,"SE","SE3"
"247","SE4",0,2024-09-18,"SE","SE4"
"248","SE5",1,2024-09-18,"SE","SE5"
"249","SE6",0,2024-09-18,"SE","SE6"
"250","SE7",0,2024-09-18,"SE","SE7"
"251","aa",0,2024-09-18,"Out of City Limits","Lilyfield"
"252","bb",0,2024-09-18,"Out of City Limits","North Perimeter"
"253","cc",0,2024-09-18,"Out of City Limits","West St. Paul"
"254","dd",2,2024-09-18,"Out of City Limits","East St. Paul"
"255","ee",0,2024-09-18,"Out of City Limits","Springfield"
"256","ff",1,2024-09-18,"Out of City Limits","Ritchot"
"257","gg",2,2024-09-18,"Out of City Limits","MacDonald"
"258","hh",3,2024-09-18,"Out of City Limits","Headingly"
"259","ii",0,2024-09-18,"Out of City Limits","Rosser"
"260","NW1",NA,2024-09-17,"NW","NW1"
"261","NW2",1,2024-09-17,"NW","NW2"
"262","NW3",1,2024-09-17,"NW","NW3"
"263","NW4",NA,2024-09-17,"NW","NW4"
"264","NW5",0,2024-09-17,"NW","NW5"
"265","NW6",0,2024-09-17,"NW","NW6"
"266","NW7",3,2024-09-17,"NW","NW7"
"267","SW1",0,2024-09-17,"SW","SW1"
"268","SW2",1,2024-09-17,"SW","SW2"
"269","SW3",1,2024-09-17,"SW","SW3"
"270","SW4",0,2024-09-17,"SW","SW4"
"271","SW5",0,2024-09-17,"SW","SW5"
"272","SW6",1,2024-09-17,"SW","SW6"
"273","SW7",0,2024-09-17,"SW","SW7"
"274","NE1",3,2024-09-17,"NE","NE1"
"275","NE2",9,2024-09-17,"NE","NE2"
"276","NE3",2,2024-09-17,"NE","NE3"
"277","NE4",2,2024-09-17,"NE","NE4"
"278","NE5",0,2024-09-17,"NE","NE5"
"279","NE6",1,2024-09-17,"NE","NE6"
"280","NE7",2,2024-09-17,"NE","NE7"
"281","SE1",NA,2024-09-17,"SE","SE1"
"282","SE2",0,2024-09-17,"SE","SE2"
"283","SE3",0,2024-09-17,"SE","SE3"
"284","SE4",3,2024-09-17,"SE","SE4"
"285","SE5",1,2024-09-17,"SE","SE5"
"286","SE6",1,2024-09-17,"SE","SE6"
"287","SE7",1,2024-09-17,"SE","SE7"
"288","aa",0,2024-09-17,"Out of City Limits","Lilyfield"
"289","bb",4,2024-09-17,"Out of City Limits","North Perimeter"
"290","cc",2,2024-09-17,"Out of City Limits","West St. Paul"
"291","dd",4,2024-09-17,"Out of City Limits","East St. Paul"
"292","ee",0,2024-09-17,"Out of City Limits","Springfield"
"293","ff",1,2024-09-17,"Out of City Limits","Ritchot"
"294","gg",0,2024-09-17,"Out of City Limits","MacDonald"
"295","hh",14,2024-09-17,"Out of City Limits","Headingly"
"296","ii",1,2024-09-17,"Out of City Limits","Rosser"
"297","NW1",NA,2024-09-16,"NW","NW1"
"298","NW2",3,2024-09-16,"NW","NW2"
"299","NW3",4,2024-09-16,"NW","NW3"
"300","NW4",8,2024-09-16,"NW","NW4"
"301","NW5",1,2024-09-16,"NW","NW5"
"302","NW6",NA,2024-09-16,"NW","NW6"
"303","NW7",6,2024-09-16,"NW","NW7"
"304","SW1",1,2024-09-16,"SW","SW1"
"305","SW2",2,2024-09-16,"SW","SW2"
"306","SW3",4,2024-09-16,"SW","SW3"
"307","SW4",0,2024-09-16,"SW","SW4"
"308","SW5",1,2024-09-16,"SW","SW5"
"309","SW6",1,2024-09-16,"SW","SW6"
"310","SW7",1,2024-09-16,"SW","SW7"
"311","NE1",8,2024-09-16,"NE","NE1"
"312","NE2",8,2024-09-16,"NE","NE2"
"313","NE3",NA,2024-09-16,"NE","NE3"
"314","NE4",2,2024-09-16,"NE","NE4"
"315","NE5",1,2024-09-16,"NE","NE5"
"316","NE6",2,2024-09-16,"NE","NE6"
"317","NE7",4,2024-09-16,"NE","NE7"
"318","SE1",NA,2024-09-16,"SE","SE1"
"319","SE2",2,2024-09-16,"SE","SE2"
"320","SE3",2,2024-09-16,"SE","SE3"
"321","SE4",9,2024-09-16,"SE","SE4"
"322","SE5",2,2024-09-16,"SE","SE5"
"323","SE6",1,2024-09-16,"SE","SE6"
"324","SE7",1,2024-09-16,"SE","SE7"
"325","aa",5,2024-09-16,"Out of City Limits","Lilyfield"
"326","bb",5,2024-09-16,"Out of City Limits","North Perimeter"
"327","cc",0,2024-09-16,"Out of City Limits","West St. Paul"
"328","dd",3,2024-09-16,"Out of City Limits","East St. Paul"
"329","ee",0,2024-09-16,"Out of City Limits","Springfield"
"330","ff",2,2024-09-16,"Out of City Limits","Ritchot"
"331","gg",5,2024-09-16,"Out of City Limits","MacDonald"
"332","hh",4,2024-09-16,"Out of City Limits","Headingly"
"333","ii",0,2024-09-16,"Out of City Limits","Rosser"
"334","NW1",NA,2024-09-13,"NW","NW1"
"335","NW2",3,2024-09-13,"NW","NW2"
"336","NW3",0,2024-09-13,"NW","NW3"
"337","NW4",3,2024-09-13,"NW","NW4"
"338","NW5",2,2024-09-13,"NW","NW5"
"339","NW6",0,2024-09-13,"NW","NW6"
"340","NW7",27,2024-09-13,"NW","NW7"
"341","SW1",0,2024-09-13,"SW","SW1"
"342","SW2",5,2024-09-13,"SW","SW2"
"343","SW3",5,2024-09-13,"SW","SW3"
"344","SW4",0,2024-09-13,"SW","SW4"
"345","SW5",0,2024-09-13,"SW","SW5"
"346","SW6",5,2024-09-13,"SW","SW6"
"347","SW7",0,2024-09-13,"SW","SW7"
"348","NE1",18,2024-09-13,"NE","NE1"
"349","NE2",4,2024-09-13,"NE","NE2"
"350","NE3",6,2024-09-13,"NE","NE3"
"351","NE4",4,2024-09-13,"NE","NE4"
"352","NE5",0,2024-09-13,"NE","NE5"
"353","NE6",2,2024-09-13,"NE","NE6"
"354","NE7",3,2024-09-13,"NE","NE7"
"355","SE1",NA,2024-09-13,"SE","SE1"
"356","SE2",4,2024-09-13,"SE","SE2"
"357","SE3",2,2024-09-13,"SE","SE3"
"358","SE4",56,2024-09-13,"SE","SE4"
"359","SE5",1,2024-09-13,"SE","SE5"
"360","SE6",1,2024-09-13,"SE","SE6"
"361","SE7",19,2024-09-13,"SE","SE7"
"362","aa",0,2024-09-13,"Out of City Limits","Lilyfield"
"363","bb",8,2024-09-13,"Out of City Limits","North Perimeter"
"364","cc",1,2024-09-13,"Out of City Limits","West St. Paul"
"365","dd",12,2024-09-13,"Out of City Limits","East St. Paul"
"366","ee",0,2024-09-13,"Out of City Limits","Springfield"
"367","ff",2,2024-09-13,"Out of City Limits","Ritchot"
"368","gg",4,2024-09-13,"Out of City Limits","MacDonald"
"369","hh",22,2024-09-13,"Out of City Limits","Headingly"
"370","ii",0,2024-09-13,"Out of City Limits","Rosser"
"371","NW1",NA,2024-09-12,"NW","NW1"
"372","NW2",3,2024-09-12,"NW","NW2"
"373","NW3",1,2024-09-12,"NW","NW3"
"374","NW4",4,2024-09-12,"NW","NW4"
"375","NW5",1,2024-09-12,"NW","NW5"
"376","NW6",0,2024-09-12,"NW","NW6"
"377","NW7",10,2024-09-12,"NW","NW7"
"378","SW1",2,2024-09-12,"SW","SW1"
"379","SW2",0,2024-09-12,"SW","SW2"
"380","SW3",4,2024-09-12,"SW","SW3"
"381","SW4",1,2024-09-12,"SW","SW4"
"382","SW5",0,2024-09-12,"SW","SW5"
"383","SW6",0,2024-09-12,"SW","SW6"
"384","SW7",0,2024-09-12,"SW","SW7"
"385","NE1",5,2024-09-12,"NE","NE1"
"386","NE2",9,2024-09-12,"NE","NE2"
"387","NE3",NA,2024-09-12,"NE","NE3"
"388","NE4",0,2024-09-12,"NE","NE4"
"389","NE5",0,2024-09-12,"NE","NE5"
"390","NE6",1,2024-09-12,"NE","NE6"
"391","NE7",6,2024-09-12,"NE","NE7"
"392","SE1",NA,2024-09-12,"SE","SE1"
"393","SE2",4,2024-09-12,"SE","SE2"
"394","SE3",0,2024-09-12,"SE","SE3"
"395","SE4",NA,2024-09-12,"SE","SE4"
"396","SE5",2,2024-09-12,"SE","SE5"
"397","SE6",0,2024-09-12,"SE","SE6"
"398","SE7",0,2024-09-12,"SE","SE7"
"399","aa",3,2024-09-12,"Out of City Limits","Lilyfield"
"400","bb",4,2024-09-12,"Out of City Limits","North Perimeter"
"401","cc",0,2024-09-12,"Out of City Limits","West St. Paul"
"402","dd",1,2024-09-12,"Out of City Limits","East St. Paul"
"403","ee",0,2024-09-12,"Out of City Limits","Springfield"
"404","ff",6,2024-09-12,"Out of City Limits","Ritchot"
"405","gg",6,2024-09-12,"Out of City Limits","MacDonald"
"406","hh",9,2024-09-12,"Out of City Limits","Headingly"
"407","ii",0,2024-09-12,"Out of City Limits","Rosser"
"408","NW1",NA,2024-09-11,"NW","NW1"
"409","NW2",1,2024-09-11,"NW","NW2"
"410","NW3",0,2024-09-11,"NW","NW3"
"411","NW4",7,2024-09-11,"NW","NW4"
"412","NW5",5,2024-09-11,"NW","NW5"
"413","NW6",0,2024-09-11,"NW","NW6"
"414","NW7",5,2024-09-11,"NW","NW7"
"415","SW1",0,2024-09-11,"SW","SW1"
"416","SW2",0,2024-09-11,"SW","SW2"
"417","SW3",0,2024-09-11,"SW","SW3"
"418","SW4",0,2024-09-11,"SW","SW4"
"419","SW5",0,2024-09-11,"SW","SW5"
"420","SW6",3,2024-09-11,"SW","SW6"
"421","SW7",0,2024-09-11,"SW","SW7"
"422","NE1",9,2024-09-11,"NE","NE1"
"423","NE2",4,2024-09-11,"NE","NE2"
"424","NE3",5,2024-09-11,"NE","NE3"
"425","NE4",0,2024-09-11,"NE","NE4"
"426","NE5",1,2024-09-11,"NE","NE5"
"427","NE6",2,2024-09-11,"NE","NE6"
"428","NE7",4,2024-09-11,"NE","NE7"
"429","SE1",NA,2024-09-11,"SE","SE1"
"430","SE2",5,2024-09-11,"SE","SE2"
"431","SE3",1,2024-09-11,"SE","SE3"
"432","SE4",12,2024-09-11,"SE","SE4"
"433","SE5",4,2024-09-11,"SE","SE5"
"434","SE6",0,2024-09-11,"SE","SE6"
"435","SE7",3,2024-09-11,"SE","SE7"
"436","aa",1,2024-09-11,"Out of City Limits","Lilyfield"
"437","bb",6,2024-09-11,"Out of City Limits","North Perimeter"
"438","cc",1,2024-09-11,"Out of City Limits","West St. Paul"
"439","dd",1,2024-09-11,"Out of City Limits","East St. Paul"
"440","ee",0,2024-09-11,"Out of City Limits","Springfield"
"441","ff",2,2024-09-11,"Out of City Limits","Ritchot"
"442","gg",9,2024-09-11,"Out of City Limits","MacDonald"
"443","hh",9,2024-09-11,"Out of City Limits","Headingly"
"444","ii",1,2024-09-11,"Out of City Limits","Rosser"
"445","NW1",NA,2024-09-10,"NW","NW1"
"446","NW2",3,2024-09-10,"NW","NW2"
"447","NW3",4,2024-09-10,"NW","NW3"
"448","NW4",3,2024-09-10,"NW","NW4"
"449","NW5",1,2024-09-10,"NW","NW5"
"450","NW6",0,2024-09-10,"NW","NW6"
"451","NW7",NA,2024-09-10,"NW","NW7"
"452","SW1",0,2024-09-10,"SW","SW1"
"453","SW2",1,2024-09-10,"SW","SW2"
"454","SW3",3,2024-09-10,"SW","SW3"
"455","SW4",0,2024-09-10,"SW","SW4"
"456","SW5",0,2024-09-10,"SW","SW5"
"457","SW6",2,2024-09-10,"SW","SW6"
"458","SW7",0,2024-09-10,"SW","SW7"
"459","NE1",14,2024-09-10,"NE","NE1"
"460","NE2",13,2024-09-10,"NE","NE2"
"461","NE3",6,2024-09-10,"NE","NE3"
"462","NE4",1,2024-09-10,"NE","NE4"
"463","NE5",2,2024-09-10,"NE","NE5"
"464","NE6",2,2024-09-10,"NE","NE6"
"465","NE7",6,2024-09-10,"NE","NE7"
"466","SE1",NA,2024-09-10,"SE","SE1"
"467","SE2",1,2024-09-10,"SE","SE2"
"468","SE3",2,2024-09-10,"SE","SE3"
"469","SE4",18,2024-09-10,"SE","SE4"
"470","SE5",4,2024-09-10,"SE","SE5"
"471","SE6",1,2024-09-10,"SE","SE6"
"472","SE7",3,2024-09-10,"SE","SE7"
"473","aa",1,2024-09-10,"Out of City Limits","Lilyfield"
"474","bb",7,2024-09-10,"Out of City Limits","North Perimeter"
"475","cc",1,2024-09-10,"Out of City Limits","West St. Paul"
"476","dd",9,2024-09-10,"Out of City Limits","East St. Paul"
"477","ee",0,2024-09-10,"Out of City Limits","Springfield"
"478","ff",10,2024-09-10,"Out of City Limits","Ritchot"
"479","gg",4,2024-09-10,"Out of City Limits","MacDonald"
"480","hh",11,2024-09-10,"Out of City Limits","Headingly"
"481","ii",1,2024-09-10,"Out of City Limits","Rosser"
"482","NW1",NA,2024-09-09,"NW","NW1"
"483","NW2",2,2024-09-09,"NW","NW2"
"484","NW3",2,2024-09-09,"NW","NW3"
"485","NW4",4,2024-09-09,"NW","NW4"
"486","NW5",NA,2024-09-09,"NW","NW5"
"487","NW6",0,2024-09-09,"NW","NW6"
"488","NW7",3,2024-09-09,"NW","NW7"
"489","SW1",0,2024-09-09,"SW","SW1"
"490","SW2",2,2024-09-09,"SW","SW2"
"491","SW3",1,2024-09-09,"SW","SW3"
"492","SW4",0,2024-09-09,"SW","SW4"
"493","SW5",0,2024-09-09,"SW","SW5"
"494","SW6",0,2024-09-09,"SW","SW6"
"495","SW7",1,2024-09-09,"SW","SW7"
"496","NE1",7,2024-09-09,"NE","NE1"
"497","NE2",7,2024-09-09,"NE","NE2"
"498","NE3",4,2024-09-09,"NE","NE3"
"499","NE4",1,2024-09-09,"NE","NE4"
"500","NE5",0,2024-09-09,"NE","NE5"
"501","NE6",1,2024-09-09,"NE","NE6"
"502","NE7",4,2024-09-09,"NE","NE7"
"503","SE1",NA,2024-09-09,"SE","SE1"
"504","SE2",4,2024-09-09,"SE","SE2"
"505","SE3",1,2024-09-09,"SE","SE3"
"506","SE4",14,2024-09-09,"SE","SE4"
"507","SE5",2,2024-09-09,"SE","SE5"
"508","SE6",1,2024-09-09,"SE","SE6"
"509","SE7",3,2024-09-09,"SE","SE7"
"510","aa",4,2024-09-09,"Out of City Limits","Lilyfield"
"511","bb",6,2024-09-09,"Out of City Limits","North Perimeter"
"512","cc",1,2024-09-09,"Out of City Limits","West St. Paul"
"513","dd",2,2024-09-09,"Out of City Limits","East St. Paul"
"514","ee",0,2024-09-09,"Out of City Limits","Springfield"
"515","ff",2,2024-09-09,"Out of City Limits","Ritchot"
"516","gg",4,2024-09-09,"Out of City Limits","MacDonald"
"517","hh",5,2024-09-09,"Out of City Limits","Headingly"
"518","ii",1,2024-09-09,"Out of City Limits","Rosser"
"519","NW1",NA,2024-09-06,"NW","NW1"
"520","NW2",0,2024-09-06,"NW","NW2"
"521","NW3",6,2024-09-06,"NW","NW3"
"522","NW4",5,2024-09-06,"NW","NW4"
"523","NW5",4,2024-09-06,"NW","NW5"
"524","NW6",NA,2024-09-06,"NW","NW6"
